"Сезон коллекции";"Вид сезона";"Название коллекции";"Первая цена";"Текущая цена";"Название модели";"Уникальный код модели";"Линейка размеров";Пол;"Тип обуви";"Возможные цвета";"Материал изготовления";"Страна изготовления";url
;;;;;;;;Женский;;;;;http://www.carlopazolini.com/ru/collection/women/shoes
;;;;;;;;Мужской;;;;;http://www.carlopazolini.com/ru/collection/men/shoes
;;;;;;;;;;;;;http://www.carlopazolini.com/ru/
;;;;;;;;Женский;БОСОНОЖКИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/heel-sandals
;;;;;;;;Женский;"НА ТАНКЕТКЕ";;;;http://www.carlopazolini.com/ru/collection/women/shoes/wedges
;;;;;;;;Женский;"НА ШНУРКАХ И ЛОФЕРЫ";;;;http://www.carlopazolini.com/ru/collection/women/shoes/lace-ups-and-loafers
;;;;;;;;Женский;БАЛЕТКИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/ballet-flats
;;;;;;;;Женский;МОКАСИНЫ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/moccasins
;;;;;;;;Женский;СНИКЕРЫ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/sneakers
;;;;;;;;Женский;САНДАЛИИ;;;;http://www.carlopazolini.com/ru/collection/women/shoes/sandals
;;;;12400;AS-DRA2-3;AS-DRA2-3;37,38,39;Женский;ТУФЛИ;бежевый;"Туфли из кожи с металлической фурнитурой";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/as-dra2-3
;;;;12900;AS-KDY1-3;AS-KDY1-3;36,37,38;Женский;ТУФЛИ;бежевый;"Туфли из лаковой кожи с перфорацией";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/as-kdy1-3
;;;;14400;CR-MAI4-12;CR-MAI4-12;36,37;Женский;ТУФЛИ;розовый;"Туфли из лаковой кожи";Италия;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/cr-mai4-12
;;;;7400;FL-FIN7-1;FL-FIN7-1;35,36,36.5,37,37.5,38,39;Женский;ТУФЛИ;черный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin7-1
;;;;7400;FL-FIN7-5;FL-FIN7-5;35,36,36.5,37,37.5,38,38.5,39;Женский;ТУФЛИ;красный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin7-5
;;;;8900;FL-FIN8-3;FL-FIN8-3;36,36.5,37,37.5,38,39;Женский;ТУФЛИ;бежевый;"Туфли из кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fin8-3
;;;;8900;FL-FORT1-10R1;FL-FORT1-10R1;36,37,38,39;Женский;ТУФЛИ;серый;"Туфли из лаковой кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-fort1-10r1
;;;;6400;FL-GLF2-1;FL-GLF2-1;36,37,38,39,40;Женский;ТУФЛИ;черный;"Туфли из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf2-1
;;;;6400;FL-GLF2-3;FL-GLF2-3;36,37,38,39,40;Женский;ТУФЛИ;бежевый;"Туфли из кожи с перфорацией";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-glf2-3
;;;;6900;FL-OKT1-1R2;FL-OKT1-1R2;36,36.5,37,37.5,38,38.5,39,40;Женский;ТУФЛИ;черный;"Туфли из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-okt1-1r2
;;;;6900;FL-OKT1-3;FL-OKT1-3;36,36.5,37,37.5,38,38.5,39,40;Женский;ТУФЛИ;бежевый;"Туфли их кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-okt1-3
;;;;6900;FL-PTN1-3R1;FL-PTN1-3R1;36,37,37.5,38,38.5,39;Женский;ТУФЛИ;бежевый;"Кожаные туфли с отделкой из лаковой кожи";Китай;http://www.carlopazolini.com/ru/collection/women/shoes/pumps/fl-ptn1-3r1
